INT		NB			SB			EB			WB
#	LT	TH	RT	LT	TH	RT	LT	TH	RT	LT	TH	RT

1	0	0	0	86	0	76	47	261	0	0	329	15	
2	0	0	0	4	0	86	38	410	0	0	435	2	
3	209	121	5	13	91	102	66	131	129	18	171	28	
4	0	0	0	87	0	358	479	602	0	0	492	67	
5	50	535	43	306	363	146	178	245	15	42	272	294	
6	45	504	127	13	285	82	41	383	37	62	327	61	
7	215	501	28	96	373	23	95	701	59	450	464	66	
8	327	394	40	596	758	2	61	339	176	176	490	139	
9	137	443	127	170	668	16	28	362	202	479	398	104	
10	11	707	0	0	1349	0	0	0	3	0	0	0	
11	28	621	0	0	1071	0	0	0	35	0	0	0	
12	15	649	0	0	1106	0	0	0	0	0	0	0	
13	12	1	38	253	5	2	1	1148	8	52	724	27	
14	0	0	0	785	0	98	81	1359	0	0	706	469	
15	239	0	207	0	0	0	0	438	149	223	374	0	
16	215	326	444	332	348	14	25	568	98	324	995	0	
17	184	165	139	151	429	70	10	993	80	152	597	142	
18	0	184	10	46	435	90	135	14	20	8	23	43	
19	0	0	0	207	0	290	40	580	0	0	624	179	
20	22	35	178	125	25	2	5	625	44	92	629	86	
21	66	629	416	84	343	32	34	1254	56	353	1310	1	
22	157	204	327	260	348	90	59	998	259	296	733	83	
23	1	403	3	6	751	12	4	4	1	5	5	4	
24	39	43	101	539	0	108	51	678	216	136	658	176	
25	7	305	204	67	382	81	141	695	0	398	711	47	
26	74	581	228	453	538	0	0	1339	373	212    1766	393	
27	419	397	42	397	234	0	106	1450	198	398	1245	79	
28	0	597	0	0	397	0	0	0	0	0	0	0	
29	18	178	95	37	330	165	202	750	13	349	972	59	
30	158	541	63	228	314	722	27	926	38	127	1024	396	
31	1	609	3	49	906	151	133	4	1	40	26	2	
32	44	296	193	20	558	82	33	569	18	622	621	0	
33	0	0	0	0	0	0	0	973	0	0	1139	0	
34	15	42	637	100	104	0	0	708	73	427	1227	112	
35	21	19	40	140	53	25	49	806	15	202	956	67	
36	273	356	194	146	525	17	162	486	671	259	660	57	
37	0	0	0	26	0	282	160	1290	0	0	1259	8	
38	29	134	33	1	296	156	126	1138	52	197	1081	1	
39	34	591	198	112	730	632	403	765	71	151	740	149	
40	19	356	106	25	599	275	224	894	13	232	1025	28	
41	310	378	18	38	602	24	12	812	404	25	709	64	
42	0	474	33	80	783	0	0	0	0	37	0	85	
43	252	316	20	8	297	526	202	137	372	19	149	0	
44	0	465	263	62	585	0	0	0	0	316	0	40	
45	18	265	2	55	371	474	426	166	30	7	298	38	
46	0	0	0	0	0	0	0	860	0	0	793	0	
47	64	1025	20	298	1220	91	359	610	85	349	668	130	
48	7	778	439	25	1184	425	263	713	26	406	782	35	
49	148	1130	134	35	1496	9	18	717	125	78	637	63	
50	64	1135	38	71	1393	113	100	26	63	39	23	73	
51	58	994	204	27	1301	188	162	131	58	226	113	36	
52	0	1098	71	51	1271	264	121	103	0	28	79	38	
53	0	1219	24	20	1346	0	0	83	0	2	30	13	
54	0	0	0	233	0	19	90	130	0	0	50	134	
55	134	1113	0	0	1298	50	130	0	233	0	0	0	
56	0	1247	0	0	1531	0	0	0	1	0	0	0	
57	113	1247	0	0	1532	0	0	0	509	0	0	0	
58	0	1008	163	0	1081	74	152	813	0	111	809	0	
59	0	921	153	0	1076	299	300	770	6	72	307	0	
60	0	572	381	79	798	626	494	611	158	198	524	92	
61	80	818	28	174	979	0	0	459	464	23	299	135	
62	511	616	6	460	927	51	46	319	555	15	284	244	
63	141	345	68	44	576	86	161	443	124	121	406	19	
64	211	542	419	56	342	43	73	333	119	998	591	134	
65	85	1162	0	0	1497	25	16	0	80	0	0	0	
66	136	929	83	96	1090	311	205	2	115	48	2	0	
67	0	526	0	0	706	68	43	0	0	0	0	0	
68	173	120	141	57	55	11	29	968	187	99	1266	90	
69	335	649	21	11	699	36	19	14	56	23	9	0	
70	0	509	60	489	765	0	0	0	0	10	0	640	
71	1003	607	19	20	967	204	1	68	631	25	333	16	
72	27	598	318	187	588	16	117	1154	468	0	1313	446	
73	577	609	0	0	639	400	284	0	489	0	0	0	
74	105	909	277	341	612	24	7	276	133	238	263	361	
75	4	77	27	34	94	1	6	520	74	34	256	10	
76	207	101	65	76	125	2	1	353	346	38	247	3	
77	41	99	100	42	28	1	14	232	51	45	273	74	
78	527	661	74	292	1041	103	235	169	490	227	232	246	
79	405	1437	317	122	903	127	64	228	231	81	361	124	
80	0	0	0	177	0	59	83	291	0	0	333	553	
81	39	1249	86	789	1118	214	417	261	28	140	482	754	
82	0	1119	283	315	1060	69	20	16	0	400	24	353	
83	20	374	36	111	566	15	14	29	13	41	19	53	
84	21	220	57	77	360	135	65	195	12	89	141	93	
85	147	1246	99	13	1401	250	2	3	97	178	90	134	
86	305	65	0	42	178	299	191	555	447	185	419	64	
87	138	227	15	0	310	103	164	70	336	9	37	0	
88	30	96	287	813	194	53	17	270	2	454	546	822	
89	0	496	432	619	743	0	0	0	0	227	0	35	
90	0	0	0	1	0	504	173	424	0	0	164	0	
91	0	0	0	831	0	5	175	250	0	0	158	329	
92	160	3	64	6	55	40	86	690	304	122	287	24	
93	0	304	0	0	191	163	232	0	0	0	0	0	
