INT		NB			SB			EB			WB
#	LT	TH	RT	LT	TH	RT	LT	TH	RT	LT	TH	RT

1	0	0	0	74	0	84	53	234	0	0	325	15	
2	0	0	0	4	0	86	50	367	0	0	439	2	
3	216	202	7	12	76	93	79	147	130	24	181	19	
4	0	0	0	85	0	333	489	628	0	0	523	73	
5	60	598	50	273	250	123	209	268	13	94	258	277	
6	72	566	108	15	235	76	57	418	31	79	292	64	
7	214	587	28	57	384	24	64	758	52	491	513	68	
8	311	442	39	527	777	2	82	325	167	151	525	160	
9	132	431	137	186	620	19	30	345	171	509	404	118	
10	11	701	0	0	1300	0	0	0	19	0	0	0	
11	27	615	0	0	1040	0	0	0	16	0	0	0	
12	15	642	0	0	1057	0	0	0	2	0	0	0	
13	12	1	38	207	8	2	1	1065	19	54	719	28	
14	0	0	0	602	0	128	89	1221	0	0	673	504	
15	262	0	218	0	0	0	0	473	112	225	379	0	
16	269	391	400	306	348	15	25	598	116	327	1057	0	
17	189	180	135	192	437	54	13	919	59	169	650	184	
18	8	194	13	45	452	81	139	17	23	8	24	43	
19	0	0	0	162	0	357	47	579	0	0	616	191	
20	9	53	196	108	25	1	9	661	51	64	650	114	
21	64	727	380	152	340	30	34	1216	55	371	1372	2	
22	167	249	348	251	326	90	59	903	334	284	839	77	
23	1	440	6	50	752	14	4	8	1	6	5	4	
24	40	46	100	544	0	104	67	647	168	147	662	191	
25	7	362	310	72	305	81	133	769	0	514	736	37	
26	133	807	444	413	629	0	0	1418	272	334	1685	317
27	494	368	51	368	225	0	106	1436	206	280	1251	148	
28	0	689	0	0	421	0	0	0	0	0	0	0	
29	0	210	97	30	398	244	294	843	14	181	1042	80	
30	232	445	593	340	324	542	1	1076	26	535	1563	578	
31	1	614	4	52	884	159	151	5	1	31	17	3	
32	68	244	57	27	345	218	105	848	17	211	1017	0	
33	0	0	0	0	0	722	619	1116	0	0	1507	67	
34	16	50	560	82	210	0	1	849	83	291	1212	158	
35	28	37	56	177	89	58	72	897	36	94	790	70	
36	296	338	164	146	560	47	147	578	584	351	616	51	
37	0	0	0	122	0	66	131	1367	0	0	1373	57	
38	70	93	101	0	236	258	256	1100	133	150	1102	1	
39	62	665	206	117	770	506	388	824	76	159	685	165	
40	7	438	124	25	607	345	241	919	9	264	888	32	
41	317	398	18	37	643	16	11	803	430	12	616	92	
42	0	512	44	72	846	0	0	0	0	35	0	78	
43	219	350	21	10	328	566	221	160	359	18	145	0	
44	0	454	283	67	604	0	0	0	0	321	0	54	
45	18	254	2	61	388	477	445	166	32	7	323	38	
46	0	0	0	0	0	0	0	852	0	0	718	0	
47	82	1059	56	271	1233	86	394	650	89	301	649	119	
48	8	849	414	25	1200	382	280	737	28	425	726	34	
49	140	1176	132	34	1541	4	18	717	117	86	573	57	
50	56	1178	39	71	1439	112	100	27	64	38	22	67	
51	55	1032	207	25	1377	175	168	145	56	210	146	21	
52	0	1144	70	49	1306	288	115	114	0	28	80	35	
53	0	1263	24	20	1376	0	0	85	0	2	29	14	
54	0	0	0	249	0	18	44	140	0	0	49	170	
55	170	1146	0	0	1330	49	140	0	249	0	0	0	
56	0	1316	0	0	1579	0	0	0	3	0	0	0	
57	116	1316	0	0	1582	0	0	0	541	0	0	0	
58	0	992	177	0	1044	71	161	815	0	110	799	0	
59	0	903	159	0	1036	286	306	777	6	72	284	0	
60	0	608	389	83	814	603	478	614	161	202	492	93	
61	61	863	29	180	997	0	0	467	469	25	295	134	
62	547	631	6	469	946	58	47	317	571	8	254	243	
63	136	385	64	46	614	74	138	463	125	102	377	20	
64	260	563	435	46	290	46	70	362	120	961	538	164	
65	73	1204	0	0	1539	44	26	0	97	0	0	0	
66	137	979	79	100	1115	310	205	2	115	49	2	0	
67	0	543	0	0	734	64	45	0	0	0	0	0	
68	51	97	159	77	33	8	42	1027	44	117	1194	153	
69	288	769	21	6	442	33	17	24	126	21	11	1	
70	0	541	47	491	788	0	0	0	0	10	0	654	
71	900	620	19	19	977	383	1	71	597	66	431	20	
72	24	503	366	233	610	25	14	1239	380	0	1306	470	
73	820	525	0	0	663	199	204	0	501	0	0	0	
74	75	999	267	338	534	24	32	272	127	134	243	274	
75	4	79	28	33	95	1	6	518	90	35	253	10	
76	212	104	58	90	130	2	1	375	333	38	207	3	
77	39	152	102	43	28	1	22	267	54	37	226	73	
78	448	786	84	299	1028	58	237	173	467	300	146	253	
79	443	1517	291	154	859	104	73	234	234	83	329	118	
80	0	0	0	143	0	46	72	340	0	0	289	581	
81	30	1289	90	766	1110	208	406	295	15	135	466	795	
82	0	1064	279	286	1109	72	23	15	0	397	22	373	
83	20	406	46	111	588	15	11	35	15	40	19	52	
84	22	252	57	72	394	131	78	201	10	100	148	87	
85	156	1192	109	4	1442	235	2	6	128	140	96	131	
86	607	112	0	39	321	213	200	563	460	149	340	62	
87	129	239	18	0	307	101	158	70	369	9	37	0	
88	49	176	150	837	187	73	9	273	7	190	538	891	
89	0	490	487	774	569	0	0	0	0	254	0	18	
90	0	0	0	2	0	460	173	429	0	0	91	0	
91	0	0	0	867	0	10	182	249	0	0	81	322	
92	195	73	141	7	45	29	89	706	320	142	179	24	
93	0	317	0	0	219	144	221	0	0	0	0	0	
94	0	24	77	17	31	0	0	219	0	108	317	2	
95	0	374	0	0	384	0	0	0	0	0	0	0	
96	0	64	22	52	145	0	0	0	0	17	0	183	
97	5	404	13	44	562	0	0	80	9	10	17	11	
98	0	1056	135	332	2025	0	0	0	0	419	0	214	
99	169	0	1	0	0	0	0	141	504	195	53	0	
100	0	0	0	31	0	108	77	179	0	0	273	24	
101	76	164	450	151	1014	52	238	495	429	421	558	377	
102	6	35	90	227	154	1	0	498	316	79	266	375	
103	2	0	0	15	0	4	10	160	4	0	305	29	
104	0	0	0	277	0	22	97	368	0	0	182	40	
105	515	1420	150	14	1695	0	0	0	0	301	192	37	
106	40	0	0	0	0	0	0	670	27	0	1714	0	
107	379	329	264	798	304	2	87	884	375	223	856	389	
108	97	1031	0	0	0	0	41	2	0	0	166	103	
109	17	12	0	0	31	50	38	0	22	0	0	0	
110	0	0	0	0	0	0	0	0	0	0	0	0	
111	0	269	0	0	501	51	95	0	1	0	0	0	
112	0	0	0	0	0	0	0	0	0	0	0	0	
113	0	0	0	0	0	0	0	0	0	0	0	0	
114	209	0	478	0	0	0	0	448	163	332	460	0	
115	0	0	0	186	0	9	4	1	0	0	88	748	
116	0	0	0	37	0	150	291	635	0	0	642	546	
117	374	0	17	0	0	0	0	256	103	76	592	0	
118	0	820	145	342	330	0	0	0	0	29	0	367	
119	52	0	100	0	0	0	0	132	14	48	64	0	
120	281	130	0	0	105	0	0	0	516	0	0	0	
121	0	1218	0	0	1393	0	0	0	0	0	0	0	
122	38	1130	0	0	0	0	0	0	0	0	0	0	
123	0	470	179	385	197	0	0	0	0	189	0	652	
124	0	52	634	196	371	0	0	0	0	433	0	618	
