Updated: 11/21/12
ui3  Nodes_2024_mp12r7.Future Year:
IntId@     N     S     E     W
 182  5562     0  9999  1699  1113
 183  9999     0     0     0     0
 184  5555  5086  3390  6027  9997
 185  6032  9997  6038  6033  5515
 186  3109  5619  5092  9999  3604
 187  1121  5345  5357     0  5356
 188  6006  7662  5228  1009  5906
 189  5803  5216     0  5520  7202
 190  6200  5405  5406  6203  6202
 191  3025  4817  4114     0  5800
 192  9999     0     0     0     0
 193  9999     0     0     0     0
 194  5048  7670     0  5532  5535
 195  2321  6005  7662  6007  9999
 196  9999     0     0     0     0
 197  5049  9997  7670  7113  1114
 198  5050  1125  1114  9999  5052
 199  5899     0  2602  6075  6074
 200  9999     0     0     0     0
 201  9999     0     0     0     0
 202  1693  8035  1694  6069  9997
 203  1694  1693     0  5893  6068
 204  5084  5083  6064  6056  5324
 205  1699  5562  7090  1700     0
 206  6053  7091  5081  6054  9999
 207  6052  2999  7091  1698  9999
 208  9999     0     0     0     0
 209  9999     0     0     0     0
 210  9999     0     0     0     0
 211  9999     0     0     0     0
 212  5681  5150  5178     0  5691
 213  5178  5681  5164     0  5388
 214  5171  5173  5184  5176  4179
 215  5184  5171  5493     0  5180
 216  5002  9997  5485  5487  6165
 217  5525  5615  6150     0  6614
 218  1683  2618  6092  6091  6093
 219  5286  5285  5291  5288  5277
 220  6110  6111  6117  6109  6114
 221  6114  6113  6115  6110  5503
 222  6065  6064  5892  8031  6063
 223  6109     0  6100  6068  6110
 224  5652  5654  5649  5653  2642
 225  5653  5655  5648  5506  5652
 226  5277  5280  3574  5286  5087
 227  2902  5103  5595  5611  5362
 228  1690  6216  3398  6220  6059
 229  6092  1683  2535     0  6118
 230  6613  6715  1769  6614  9997
 231  5056  7778  6023  5055     0
 232  6096  6101     0  5897  5104
 233  5091  5599  5619  6029  1742
 234  5393  5391  7084  3133  6204
 235  6201  5394  5395  5397  6203
 236  5015  5485  5014  9999  5483
 237  1759  7113  5556     0  5532
 238  1682  5894  6108  2533  1671
 239  5098  6014  7078  7663  7664
 240  5079  1126  7112  1711     0
 241  1711  1725  7209     0  5079
 242  5610  6083     0  7204  2618
 243  5602  1127  5603  6084     0
 244  5897  6095     0  5898  6096
 245  6104  1672     0  6105  6160
 246  9999     0     0     0     0
 247  9999     0     0     0     0
 248  9999     0     0     0     0
 249  2214  7080  6004  5222  9997
 250  5383  5385  5390  5387  5222
 251  5387  5384  8602  7666  5383
 252  5038     0  6034  5515  1753
 253  6221  5592  6212  6211  6218
 254  5592  1128  6221  7092  9997
 255  5229  8381  6014  5531  7666
 256  6040     0  6027  5045  5046
 257  1691  9997  2512  6059  6075
 258  3158  4007     0  3128  3133
 259  3128  5717     0  3131  3158
 260  6220  6209     0  2619  1690
 261  7209  1711  1702     0  7210
 262  7766  7742  7671     0  7748
 263  6016  6021  5099   182   374
 264  6132  6015  6021  7234  6020
 265  5061  7681  2285  7673  5529
 266  6170  5594  9999  6018  6017
