Updated:    11/21/12                                                           0
ui3  address_2024_mp12r7.prn     Future Year: 2024              Traffic Devi   0
IntIdNS Address                  EW Address                  MMAControl   SyYear
  99 Somerset Blvd               SE Newport Wy               NWCSignal    0 1993
 100 92nd Ave NE                 Lk Wash Blvd                NB Flash     0 2003
 101 150th Ave SE                SE Eastgate Wy              EGTSignal    **2012
 102 118th Ave SE                SE 8th St                   SB Signal    7 2011
 103 98th Ave NE                 NE 24th St                  CLHFlash     0 2003
 104 SE Allen Rd                 SE Newport Wy               NWCSignal    0 1996
 105 Richards rd                 SE Eastgate Wy              FCTSignal    **2012
 106 121st Ave SE                SE 8th St                   RV Signal    0 2007
 107 112th Ave NE                NE 6th St                   CBDSignal    0 2008
 108 Bellevue Wy SE (NB)         112th Ave SE (P&R)          SB Signal    0 2007
 109 108th Ave SE                SE 25th St                  SB Flash     0 2003
 110 Reserved For Future Signal                            0  0 R         0    0
 111 Northup Wy                  NE 8th St                   NEBStop W    6 2012
 112 Reserved For Future Signal                            0  0 R         0    0
 113 Reserved For Future Signal                            0  0 R         0    0
 114 116th Ave NE                Northup Wy                  BT Signal    2 2011
 115 116th Ave NE                115th Ave NE                BT Stop W    0 1996
 116 115th Pl NE                 Northup Wy                  BT Signal    2 2011
 117 120th Ave NE                Northup Wy                  BRNSignal    **2012
 118 Northup Wy                  NE 24th St                  BT Signal    2 2011
 119 108th Ave NE                NE 24th St                  NB Stop EW   0 2003
 120 W Lk Samm Pkwy NE           Northup Wy                  NEBFlash     0 2008
 121 140th Ave NE                NE 21st St                  BRNStop E    0 2002
 122 Bellevue Wy SE (NB)         SE 30th St                  SB Stop EW   0 2009
 123 140th Ave NE                NE 40th St                  BT Flash     2 2011
 124 110th Ave NE                NE 6th St (Trans Cntr)      CBDStop 4W   0 2008
 125 111th Ave NE                NE 4th St                   CBDStop S    0 1998
 126 108th Ave NE                NE 6th St (Trans Cntr)      CBDSignal    0 2008
 127 112th Ave SE                Bellefield Drwy             SB Stop EW   0 2009
 128 112th Ave NE                NE 2nd St                   CBDSignal    0 2009
 129 102nd Ave NE                NE 10th St                  CBDSignal    0 2007
 130 100th Ave NE                NE 10th St                  CBDFlash     0 2003
 131 116th Ave SE                SE 1st St                   WLBSignal    4 2012
 132 Richards rd                 SE 30th St                  RV Signal    0 2007
 133 150th Ave SE                SE Newport Wy               NWCSignal    **2012
 134 Richards Rd                 Lk Hills Con                RV Signal    8 2011
 135 Bellevue Wy SE              SE 16th St                  SB Signal    0 2008
 136 Reserved For Future Signal                            0  0 R         0    0
 137 Bellevue Wy NE              NE 17th St                  NB Signal p  0 2002
 138 Bel-Red Rd                  NE 40th St                  RDMSignal    0 2012
