INT		NB			SB			EB			WB
#	LT	TH	RT	LT	TH	RT	LT	TH	RT	LT	TH	RT

1	0	0	0	75	0	77	39	242	0	0	321	15	
2	0	0	0	3	1	91	42	344	33	0	425	2	
3	195	260	11	12	81	100	80	102	136	18	198	15	
4	0	0	0	84	0	365	482	600	0	0	499	67	
5	51	637	38	313	314	135	228	260	16	43	291	316	
6	74	598	131	9	253	76	67	423	44	64	356	37	
7	213	592	29	106	373	23	100	677	64	446	477	73	
8	333	445	76	463	778	2	84	297	176	110	526	150	
9	129	452	138	44	820	16	32	294	183	410	400	95	
10	12	719	0	0	1413	0	0	0	1	0	0	0	
11	28	631	0	0	1128	0	0	0	70	0	0	0	
12	16	659	0	0	1198	0	0	0	0	0	0	0	
13	11	1	38	322	5	2	1	1229	1	55	737	26	
14	0	0	0	773	0	133	89	1500	0	0	685	486	
15	238	0	258	0	0	0	0	447	160	187	422	0	
16	234	381	341	253	350	14	25	578	102	286	1008	1	
17	220	163	52	201	423	45	47	746	129	106	569	145	
18	8	218	17	96	449	25	33	92	8	8	184	53	
19	0	0	0	289	0	205	54	383	0	0	631	200	
20	48	81	132	116	35	2	13	684	38	73	617	95	
21	66	650	370	194	298	29	34	1082	57	332	1287	27	
22	211	124	398	79	296	78	55	658	474	275	615	78	
23	3	340	110	178	641	76	34	72	30	166	117	69	
24	41	70	76	590	0	106	81	473	276	153	688	136	
25	7	327	304	76	286	75	142	823	1	439	678	47	
26	81	708	521	414	407	0	0	1578	0	443	308	84	
27	430	579	78	282	261	0	92	1339	215	125	1217	77	
28	0	685	0	0	410	0	0	0	0	0	0	0	
29	2	256	116	91	279	159	277	913	13	391	1004	78	
30	458	641	76	329	309	615	27	187	0	129	1231	421	
31	1	617	3	5	932	106	152	10	1	37	83	3	
32	60	346	268	5	389	88	37	575	57	652	544	0	
33	0	0	0	0	0	0	0	1027	0	0	1350	0	
34	19	52	663	98	101	0	0	772	76	336	1177	162	
35	22	23	93	154	75	9	19	881	16	26	844	83	
36	247	380	237	192	628	6	66	551	533	412	632	96	
37	0	0	0	17	0	253	230	1311	0	0	1200	8	
38	29	163	74	0	288	144	151	1126	52	181	1034	0	
39	30	551	209	110	709	676	490	825	58	152	607	181	
40	10	366	153	23	594	267	157	1041	21	230	964	29	
41	334	387	18	50	597	18	13	848	474	23	610	97	
42	0	515	36	83	840	0	0	0	0	32	0	80	
43	253	341	19	15	318	557	219	151	370	14	132	0	
44	0	494	288	61	625	0	0	0	0	331	0	40	
45	14	314	3	57	447	452	434	207	28	7	285	34	
46	0	0	0	0	0	0	0	909	0	0	727	0	
47	63	1342	20	276	1237	92	421	610	86	355	605	173	
48	7	865	404	24	1200	433	477	694	12	470	701	32	
49	154	1192	120	30	1578	5	18	770	120	78	568	51	
50	68	1191	40	72	1475	109	99	33	68	29	24	71	
51	63	1043	247	24	1423	183	191	130	42	234	118	32	
52	0	1153	71	47	1398	255	162	105	0	30	71	37	
53	0	1277	20	18	1462	0	0	93	0	3	37	11	
54	0	0	0	297	0	19	108	141	0	0	49	157	
55	157	1156	0	0	1416	49	141	0	297	0	0	0	
56	0	1313	0	0	1713	0	0	0	3	0	0	0	
57	136	1313	0	0	1716	0	0	0	460	0	0	0	
58	0	974	147	0	1070	73	157	791	0	108	783	0	
59	0	880	157	0	1062	244	284	725	6	72	262	0	
60	0	665	399	106	839	567	524	620	187	238	471	100	
61	51	923	35	189	1075	0	0	449	434	24	284	142	
62	486	698	7	462	991	51	48	321	514	16	310	228	
63	134	398	76	40	669	71	149	483	130	74	367	19	
64	296	616	362	53	374	43	66	449	134	961	523	184	
65	100	1221	0	0	1591	16	26	0	96	0	0	0	
66	145	988	90	63	1155	303	202	2	117	48	2	0	
67	0	567	0	0	779	69	45	0	0	0	0	0	
68	185	166	141	59	59	11	74	1044	178	100	1163	126	
69	157	1001	18	14	649	31	17	15	57	21	12	2	
70	0	580	31	483	838	0	0	0	0	10	0	643	
71	935	648	20	17	1127	321	2	72	565	47	396	18	
72	8	388	526	170	708	12	9	1234	444	0	1410	612	
73	648	620	0	0	611	492	334	0	611	0	0	0	
74	108	1091	302	304	612	19	9	265	140	140	235	262	
75	4	89	28	36	102	1	14	504	95	33	250	10	
76	203	114	72	95	134	2	2	363	329	38	268	3	
77	42	203	120	37	29	1	22	317	54	45	250	73	
78	421	850	38	350	1003	73	251	215	404	432	143	211	
79	403	1648	332	137	940	122	53	235	244	95	352	107	
